Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(USD),Price_Category,Cluster,Clusters
0.13348164627363737,3,1,1,1,135,20000000000.0,666666.67,High,0,0
0.07230255839822025,2,1,1,1,62,950000000.0,31666.67,Low,0,0
0.10789766407119022,2,1,1,1,163,6000000000.0,200000.0,High,0,0
0.10344827586206898,3,1,1,1,146,3700000000.0,123333.33,Medium,0,0
0.036707452725250285,2,1,1,1,163,2000000000.0,66666.67,Medium,0,0
0.0667408231368187,2,1,1,1,122,3050000000.0,101666.67,Medium,0,0
0.08342602892102335,2,1,1,1,117,605000000.0,20166.67,Low,0,0
0.16685205784204674,3,1,1,1,118,9900000000.0,330000.0,High,0,0
0.10011123470522804,3,1,0,1,120,3700000000.0,123333.33,Medium,0,0
0.038932146829810894,2,1,1,1,52,2500000000.0,83333.33,Medium,0,0
0.14238042269187987,3,1,1,1,50,10480000000.0,349333.33,High,0,0
0.12680756395995552,3,1,1,1,29,7632000000.0,254400.0,High,0,0
0.12680756395995552,3,1,1,1,122,7632000000.0,254400.0,High,0,0
0.11123470522803114,3,1,1,1,57,12300000000.0,410000.0,High,0,0
0.239154616240267,3,1,1,1,50,26950000000.0,898333.33,High,1,1
0.17797552836484984,3,1,1,1,77,24300000000.0,810000.0,High,1,1
0.036707452725250285,2,1,1,1,26,3000000000.0,100000.0,Medium,0,0
0.05005561735261401,2,1,1,1,40,2100000000.0,70000.0,Medium,0,0
0.06451612903225806,2,1,0,1,60,4700000000.0,156666.67,Medium,0,0
0.0867630700778643,2,1,1,1,118,9180000000.0,306000.0,High,0,0
0.0967741935483871,2,1,1,1,71,1579500000.0,52650.0,Low,0,0
0.18909899888765294,3,1,1,1,118,12000000000.0,400000.0,High,0,0
0.038932146829810894,1,1,1,0,120,1750000000.0,58333.33,Low,0,0
0.0667408231368187,2,1,1,1,26,3780000000.0,126000.0,Medium,0,0
0.10567296996662959,2,1,1,1,68,8100000000.0,270000.0,High,0,0
0.12235817575083427,3,1,1,1,68,9100000000.0,303333.33,High,0,0
0.045606229143492764,2,0,1,1,65,1550000000.0,51666.67,Low,0,0
0.045606229143492764,2,0,1,1,74,1640000000.0,54666.67,Low,0,0
0.2291434927697442,4,1,1,1,57,20000000000.0,666666.67,High,0,0
0.04115684093437152,2,1,1,1,26,2750000000.0,91666.67,Medium,0,0
0.03337041156840934,1,1,1,1,122,1750000000.0,58333.33,Low,0,0
